name,address,lat,lon,official_link
בזל,אשתורי הפרחי 5 תל-אביב יפו,32.09,34.7801,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=3
תל - נורדאו,פרישמן 28 תל-אביב יפו,32.0797,34.7718,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=45
הארד,הארד 2 תל-אביב יפו,32.111,34.842,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=16
גולדה,ברקוביץ 7 תל-אביב יפו,32.0774,34.7846,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=10
ברוריה,יגאל אלון 151 תל-אביב יפו,32.0781,34.7969,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=8
בני דן,אוסישקין 7 תל-אביב יפו,32.0955,34.7786,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=7
חברה חדשה,חברה חדשה 9 תל-אביב יפו,32.0848,34.7902,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=4
מירשם,קלצ`קין 25 תל-אביב יפו,32.1175,34.8069,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=48
מדעי החברה,קלאוזנר 2 תל-אביב יפו,32.1106,34.8032,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=50
ארלוזורוב - חנה וסע,יעקב דורי 2 תל-אביב יפו,32.085,34.7964,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=1
התחנה,המרד פינת קויפמן יחזקאל 65 תל-אביב יפו,32.0606,34.7617,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=28
מפעל הפיס,ליאונרדו דה וינצ'י 6 תל-אביב יפו,32.0729,34.7847,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=31
דובנוב,דובנוב 4 תל-אביב יפו,32.0741,34.7838,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=15
סינרמה,יצחק שדה 45 תל-אביב יפו,32.0647,34.7914,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=37
"בית האצ""ל",נחום גולדמן 2 תל-אביב יפו,32.0596,34.7596,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=21
נחושת,הנחושת 6 תל-אביב יפו,32.1095,34.8386,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=34
הצפירה 1,הצפירה 2 תל-אביב יפו,32.0609,34.7822,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=19
הצפירה 2,הצפירה 8 תל-אביב יפו,32.0616,34.7815,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=20
רפואת שיניים ,קלצ`קין 6 תל-אביב יפו,32.1176,34.8034,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=53
התרבות,הוברמן 1 תל-אביב יפו,32.0721,34.7801,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=94
"פלמ""ח",יגאל אלון 68 תל-אביב יפו,32.0627,34.7924,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=39
גלי גיל,2370 מס` 3 תל-אביב יפו,32.0833,34.7992,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=12
לולאה,פרשת דרכים 10 תל אביב ,32.0818,34.7998,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=26
מרכזים,הזרם 12 תל-אביב יפו,32.0512,34.7672,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=32
כרמל 1,קלישר פינת הכרמל תל-אביב יפו,32.0668,34.7664,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=24
מרד,המרד 32 תל-אביב יפו,32.0642,34.764,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=33
פנחס רוזן,פנחס רוזן 51 תל-אביב יפו,32.1124,34.825,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=23
התקומה,המרד 36 תל-אביב יפו,32.0647,34.7646,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=44
החשמל,לבונטין 20 תל-אביב יפו,32.0622,34.7763,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=18
גן הכובשים 1 - מזרח,יוסף לוי 5 תל-אביב יפו,32.0658,34.7644,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=13
מונטיפיורי,מונטיפיורי 5 תל-אביב יפו,32.0648,34.7695,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=29
רבניצקי,רבניצקי 6 תל-אביב יפו,32.0661,34.7898,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=40
גני יהושע,רוקח 94 תל-אביב יפו,32.1057,34.8135,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=99
גולפיטק,רוקח 80 תל-אביב יפו,32.1,34.7954,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=98
סמולרש,ג`ורג` וייז 16 תל-אביב יפו,32.1095,34.8037,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=95
"נמל ת""א","יורדי הסירה או רח' נמל ת""א",32.0964,34.7736,
"השפך (בנמל ת""א)",רחוב התערוכה / יורדי הסירה,32.0995,34.776,
שרתון,הנמל 1 תל-אביב יפו,32.0943,34.7725,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=42
גן הכובשים 2 - מערב,יוסף לוי 7 תל-אביב יפו,32.0661,34.7636,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=129
אבולעפיה,קבוץ גלויות 36 תל-אביב יפו,32.0515,34.769,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=56
אחימאיר,אחימאיר אבא 28 תל-אביב יפו,32.1244,34.8038,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=64
בית הדר א,הרכבת 3 תל-אביב יפו,32.0638,34.7771,
בית החייל,עקיבה אריה תל-אביב יפו,32.0906,34.7918,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=72
בית צורי,בית צורי 20 תל-אביב יפו,32.1228,34.8011,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=85
בן יוסף 2,בן יוסף 17 תל-אביב יפו,32.1254,34.798,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=88
ברזני,ברזני משה 15 תל-אביב יפו,32.128,34.7983,
"גלי צה""ל",יהודה הימית 21 תל-אביב יפו,32.0511,34.7569,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=54
"הבעש""ט","הבעש""ט פינת יפת 171 תל-אביב יפו",32.0376,34.7533,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=55
המערכה,המערכה 10 תל-אביב יפו,32.0616,34.7933,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=77
הרב קוק,הרב קוק פינת הארי תל-אביב יפו,32.0707,34.7679,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=57
וולפסון 2,הטייסים 39 תל-אביב יפו,32.0568,34.8062,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=89
טאגור,סמטת טאגור 38 תל-אביב יפו,32.1163,34.7966,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=79
טירת צבי,יגאל אלון תל-אביב יפו,32.0775,34.7971,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=76
יד אבנר,קוממיות 24 תל-אביב יפו,32.1193,34.8053,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=58
מבצע קדש,מבצע קדש פינת בני אפרים 220 תל-אביב יפו,32.1147,34.8172,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=70
מטודלה,בנימין מטודלה 16 תל-אביב יפו,32.1096,34.8274,
מי ומי,משה סנה 54 תל-אביב יפו,32.1245,34.8248,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=62
מכללה למינהל ומכללת לוינסקי 1,שושנה פרסיץ 9 תל-אביב יפו,32.1352,34.7969,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=63
מכללת יפו,רבינו ירוחם 12 פינת חבר הלאומים 5 תל-אביב יפו,32.0482,34.7628,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=80
סלודור,רמת אביב תל-אביב יפו,32.1072,34.7971,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=65
ספיר,אליהו ספיר תל-אביב יפו,32.0755,34.7772,
עין יעקב,קויפמן 16 תל-אביב יפו,32.0629,34.7635,
עיר שמש,עיר שמש 40 תל-אביב יפו,32.1245,34.8278,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=81
