id,name,link
1,ארלוזורוב - חנה וסע,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=1
2,בוגרשוב,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=2
3,בזל,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=3
4,חברה חדשה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=4
7,בני דן,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=7
8,ברוריה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=8
10,גולדה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=10
12,גלי גיל,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=12
13,גן הכובשים 1 - מזרח,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=13
15,דובנוב,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=15
16,הארד,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=16
18,החשמל,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=18
19,הצפירה 1,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=19
20,הצפירה 2,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=20
21,"בית האצ""ל",https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=21
23,פנחס רוזן,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=23
24,כרמל 1,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=24
25,הלוחמים,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=25
26,לולאה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=26
28,התחנה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=28
29,מונטיפיורי,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=29
31,מפעל הפיס,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=31
32,מרכזים,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=32
33,מרד,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=33
34,נחושת,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=34
37,סינרמה,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=37
38,סעדיה גאון,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=38
39,"פלמ""ח",https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=39
40,רבניצקי,https://www.ahuzot.co.il/Parking/ParkingDetails/?ID=40
